2019-05-29_18:53:57 0.0338532
2019-05-29_18:53:57 0.0336886
2019-05-29_18:53:57 0.0334903
2019-05-29_18:53:57 0.0333533
2019-05-29_18:53:57 0.0332152
2019-05-29_18:53:57 0.0330913
2019-05-29_18:53:57 0.0329992
2019-05-29_18:53:57 0.0329343
2019-05-29_18:53:57 0.0328641
2019-05-29_18:53:58 0.0328151
2019-05-29_18:53:58 0.032782
2019-05-29_18:53:58 0.0327519
2019-05-29_18:53:58 0.0327401
2019-05-29_18:53:58 0.0327177
2019-05-29_18:53:58 0.0326982
2019-05-29_18:53:58 0.0326817
2019-05-29_18:53:58 0.0326593
2019-05-29_18:53:58 0.0326492
2019-05-29_18:53:58 0.0326386
2019-05-29_18:53:58 0.0326191
2019-05-29_18:53:58 0.0326227
2019-05-29_18:53:59 0.0326221
2019-05-29_18:53:59 0.0326032
2019-05-29_18:53:59 0.0326002
2019-05-29_18:53:59 0.0325872
2019-05-29_18:53:59 0.0325926
2019-05-29_18:53:59 0.0325754
2019-05-29_18:53:59 0.0325695
2019-05-29_18:53:59 0.0325749
2019-05-29_18:53:59 0.0325589
2019-05-29_18:53:59 0.0325507
2019-05-29_18:53:59 0.0325512
2019-05-29_18:53:59 0.0325324
2019-05-29_18:54:00 0.0325335
2019-05-29_18:54:00 0.0325217
2019-05-29_18:54:00 0.032527
2019-05-29_18:54:00 0.032517
2019-05-29_18:54:00 0.0325117
2019-05-29_18:54:00 0.0325034
2019-05-29_18:54:00 0.0325064
2019-05-29_18:54:00 0.0324999
2019-05-29_18:54:00 0.0324916
2019-05-29_18:54:00 0.032491
2019-05-29_18:54:00 0.0324928
2019-05-29_18:54:00 0.0324863
2019-05-29_18:54:01 0.032481
2019-05-29_18:54:01 0.0324928
2019-05-29_18:54:01 0.0324857
2019-05-29_18:54:01 0.0324721
2019-05-29_18:54:01 0.0324633
2019-05-29_18:54:01 0.0324692
2019-05-29_18:54:01 0.0324692
2019-05-29_18:54:01 0.032455
2019-05-29_18:54:01 0.032455
2019-05-29_18:54:01 0.0324533
2019-05-29_18:54:01 0.0324456
2019-05-29_18:54:01 0.0324373
2019-05-29_18:54:02 0.0324226
2019-05-29_18:54:02 0.0324279
2019-05-29_18:54:02 0.0324225
2019-05-29_18:54:02 0.0324155
2019-05-29_18:54:02 0.0324113
2019-05-29_18:54:02 0.0324102
2019-05-29_18:54:02 0.0323972
2019-05-29_18:54:02 0.0324066
2019-05-29_18:54:02 0.0324125
2019-05-29_18:54:02 0.0324048
2019-05-29_18:54:02 0.032396
2019-05-29_18:54:03 0.032396
2019-05-29_18:54:03 0.0323913
2019-05-29_18:54:03 0.0323871
2019-05-29_18:54:03 0.0323818
2019-05-29_18:54:03 0.0323747
2019-05-29_18:54:03 0.0323647
2019-05-29_18:54:03 0.0323682
2019-05-29_18:54:03 0.0323741
2019-05-29_18:54:03 0.0323653
2019-05-29_18:54:03 0.0323706
2019-05-29_18:54:03 0.0323546
2019-05-29_18:54:03 0.0323535
2019-05-29_18:54:04 0.0323606
2019-05-29_18:54:04 0.0323494
2019-05-29_18:54:04 0.0323499
2019-05-29_18:54:04 0.0323517
2019-05-29_18:54:04 0.0323417
2019-05-29_18:54:04 0.0323488
2019-05-29_18:54:04 0.0323446
2019-05-29_18:54:04 0.0323311
2019-05-29_18:54:04 0.0323334
2019-05-29_18:54:04 0.0323316
2019-05-29_18:54:04 0.0323263
